WINTER 13 : 6/11/2013 6:18:32 PM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Report Title: All Classes ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Non-Clustered Classes: ,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
601,CMST&101  01,INTRO TO COMMUNICATION,5,DAILY,8:00 AM,BE 4175,"Zaragoza, k.",24,/,25,2,8,5.7,
604,CMST&101  04,INTRO TO COMMUNICATION,5,MW,6:00 PM,BE 4175,Norton ,25,/,25,3,8.3,3.7,
602,CMST&101  02,INTRO TO COMMUNICATION,5,DAILY,2:00 PM,BE 4143,Abdulhamid ,20,/,25,0,6.7,2.7,
603,CMST&101  03,INTRO TO COMMUNICATION,5,DAILY,1:00 PM,BE 4171,Rutherford ,24,/,25,5,8,6,
605,CMST&101  05,INTRO TO COMMUNICATIONS,5,DAILY,9:00 AM,BE 4104,Norton ,26,/,25,6,8.7,3.3,
606,CMST&210  01,INTERPERSONAL COMMUNICTN,5,DAILY,10:00 AM,BE 4175,Rutherford ,23,/,25,1,7.7,5.3,
607,CMST&220  01,PUBLIC SPEAKING,5,DAILY,11:00 AM,BE 4175,Rutherford ,25,/,25,1,8.3,5.7,
608,CMST&220  02,PUBLIC SPEAKING,5,DAILY,12:00 PM,BE 4175,Rutherford ,20,/,25,2,6.7,4.7,
609,CMST&220  03,PUBLIC SPEAKING,5,DAILY,2:00 PM,BE 4171,"Maki,kelsey ",27,/,25,4,9,1.3,
611,CMST&220  05,PUBLIC SPEAKING,5,DAILY,3:00 PM,BE 4171,"Maki,kelsey ",25,/,25,4,8.3,1.3,
610,CMST&220  04,PUBLIC SPEAKING,5,TTh,6:00 PM,BE 4175,"Foxworth, t.",25,/,25,1,8.3,5.7,
613,CMST 295  01,STUDIES/WORKS COMMUNICAT,5,Arr,AR:R M,BE 4128,"Lane,bradley",1,/,5,0,0.3,0.3,
3265,COM 225  01,ADV TV PROD & APP COMM,5,W,10:00 AM,AS 0000,"Cioffi, s. ",15,/,30,0,5,4.7,
3267,COM 235  01,PRODUCTION MANAGEMENT,3,T,10:00 AM,BE 3178,"Tonacchio,s.",15,/,30,0,3,2.8,
3268,COM 298  01,SPEC TOP: WK ON FILM SET,3,Arr,AR:R M,ARR,Cancel 11/2 ,0,/,20,0,0,0,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
1152,CSC 102B  03,COMPUTERS IN MATH,2,F,12:00 PM,SAM0301,Solowan ,11,/,16,0,1.5,1.2,
1150,CSC 102B  01,COMPUTERS IN MATH,2,W,1:05 PM,SAM0301,Solowan ,10,/,16,0,1.3,0.9,
1151,CSC 102B  02,COMPUTERS IN MATH,2,Th,3:30 PM,SAM0301,Solowan ,6,/,16,0,0.8,0.5,
1160,CSC 102Q  01,COMPUTERS IN MATH,1,T,1:00 PM,BE 3165,"Botz, dan ",30,/,28,0,2,0.9,
1161,CSC 102Q  02,COMPUTERS IN MATH,1,T,3:00 PM,BE 3165,"Botz, dan ",29,/,28,0,1.9,0.4,
1163,CSC 102Q  04,COMPUTERS IN MATH,1,Th,1:00 PM,BE 3165,"Botz, dan ",28,/,28,0,1.9,0.8,
1164,CSC 102Q  05,COMPUTERS IN MATH,1,Th,3:00 PM,BE 3165,"Botz, dan ",32,/,28,0,2.1,0.9,
1162,CSC 102Q  03,COMPUTERS IN MATH,1,W,1:00 PM,BE 3165,"Botz, dan ",26,/,28,0,1.7,0.7,
1169,CSC 110  02,INTRO TO COMPUTER PROG,5,MWF,11:00 AM,BE 3165,"Mc cone,andy",32,/,29,3,10.7,7.7,
1168,CSC 110  01,INTRO TO COMPUTER PROG,5,MWF,9:00 AM,SAM0202,"Mc cone,andy",30,/,29,2,10,6,
1191,CSC 299  02,INDEPENDENT STUDY,2,Arr,AR:R M,ARR,Cancel jul17,0,/,5,0,0,0,
1189,CSC 299  142,CSC 142 STUDY SKILLS,1,Arr,AR:R M,ARR,Cancel jul17,0,/,5,0,0,0,
500,CSP 125  01,THE POWER OF COMMUNITY,10,MTWTh,1:00 PM,,Cancel/dec ,0,/,50,0,0,0,
525,CSP 250  01,WHAT IS ABT US THAT YOU,10,MTWTh,10:00 AM,BE 4151,"Al-madani,m.",3,/,50,0,2,2,
2101,CUL 101  01,FOOD THEORY I,6,WF,8:30 AM,BE 2119,"Shiosaki, g.",26,/,25,0,10.4,8,
2102,CUL 102  01,FOOD THEORY II,5,TTh,7:45 AM,BE 2119,"Miyata, k. ",18,/,25,0,6,6,
2103,CUL 103  01,FOOD THEORY III,4,TWTh,8:00 AM,BE 2115,"Jordan, mike",13,/,25,0,3.5,3.5,
2104,CUL 104  01,FOOD THEORY IV,6,TWTh,7:30 AM,BE 2116,"Jurgensen,k.",23,/,25,0,9.2,8.8,
2106,CUL 106  01,INTRO TO CUL ARTS:THEORY,2,TTh,9:00 AM,BE 2119,"Shiosaki, g.",11,/,25,0,1.1,1.1,
2111,CUL 111  01,INTRO TO PROF COOKING PR,6,TWThF,10:00 AM,BE 2118,"Shiosaki, g.",23,/,30,0,9.2,7.2,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
2112,CUL 112  01,QUANTITY COOK: PRACTICUM,8,TWThF,9:00 AM,BE 2107,"Miyata, k. ",17,/,25,0,9.1,9.1,
2113,CUL 113  01,RESTAURANT COOKING: PR,8,TWThF,9:00 AM,BE 2107,"Jordan, mike",13,/,25,0,6.9,6.9,
2114,CUL 114  01,INT'L COOKING: PRACTICUM,8,TWThF,9:00 AM,BE 2107,"Jurgensen,k.",23,/,25,0,12.3,11.7,
2116,CUL 116  01,INTRO TO CUL ARTS:PRAC,1,Arr,AR:R M,BE 2107,"Miyata, k. ",12,/,20,0,0.8,0.7,
2120,CUL 120  01,INTRODUCTION TO WINE,1,T,1:30 PM,BE 2121,"Jordan, mike",32,/,30,0,2.1,2.1,
2151,CUL 151  01,SUSTAINABLE FOOD PART I,1,F,7:30 AM,BE 3212,"Jurgensen,k.",34,/,50,0,2.3,1.9,
2152,CUL 152  01,SUSTAINABLE FOOD PART II,1,W,2:00 PM,BE 2121,"Wong, sarah ",20,/,35,0,1.3,1.3,
2153,CUL 153  01,SUSTAINABLE FOOD PRT III,1,T,8:00 AM,BE 2121,"Shiosaki, g.",32,/,35,0,2.1,2.1,
2165,CUL 205  01,ADVANCED CULINARY THEORY,1,Th,2:00 PM,BE 2121,"Wong, sarah ",22,/,25,0,1.5,1.5,
2175,CUL 215  01,ADV CULINARY PRACTICES,4,WThF,9:00 AM,BE 2116,"Wong, sarah ",22,/,25,0,6.6,6.6,
2199,CUL 299  01,INDEPEND PROJECT/CULINAR,5,Arr,AR:R M,BE 2120,"Jurgensen,k.",0,/,5,0,0,0,
7850,CWE 197  01,COOPERATIVE EDUCATION,8,Arr,AR:R M,-,"Kato, karen ",4,/,30,0,1,1,
7851,CWE 198  01,COOPERATIVE EDUCATION,8,Arr,AR:R M,-,"Kato, karen ",1,/,30,0,0.1,0.1,
7852,CWE 199  01,COOPERATIVE EDUCATION,8,Arr,AR:R M,-,"Kato, karen ",1,/,30,0,0.2,0.2,
3347,DES 114  01,MEDIA PUBLISHING I,3,TTh,5:00 PM,BE 5104,"Sullivan, c.",22,/,25,0,4.4,4.2,
3339,DES 115  01,MED PUB II DIGITAL PUBLI,3,MW,5:00 PM,,Cancel 10/18,0,/,25,0,0,0,
3344,DES 121  01,TYPOGRAPHY I,3,W,9:00 AM,BE 5140,Vartenigian ,23,/,26,0,4.6,4.4,
3345,DES 121  02,TYPOGRAPHY I,3,T,9:00 AM,BE 5128,Vartenigian ,25,/,25,0,5,5,
3352,DES 132  01,GRAPHIC II,3,M,9:00 AM,BE 5140,"Lenon, tom ",23,/,25,0,4.6,4.4,
3353,DES 132  02,GRAPHIC II,3,W,9:00 AM,BE 5128,"Lenon, tom ",25,/,25,0,5,5,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
3359,DES 146  02,GRAPHIC PRODUCTION II,3,M,9:00 AM,BE 5128,"Hoppe, jason",25,/,25,0,5,5,
3358,DES 146  01,GRAPHIC PRODUCTION II,3,Th,9:00 AM,BE 5140,"Hoppe, jason",22,/,25,0,4.4,4.2,
3341,DES 148  02,GRAPHIC PRODUCTION IV,3,Th,9:00 AM,BE 5128,Greenzweig ,27,/,20,0,5.4,5.4,
3400,DES 148  01,GRAPHIC PRODUCTION IV,3,T,9:00 AM,BE 5140,Greenzweig ,24,/,20,0,4.8,4.6,
7855,DES 197  01,WORK EXP:GRAPHIC DESIGN,3,Arr,AR:R M,-,"Kato, karen ",3,/,25,0,0.6,0.6,
3360,DES 224  01,TYPOGRAPHY IV,4,F,9:00 AM,BE 5126,Vartenigian ,22,/,24,0,5.9,5.9,
3361,DES 224  02,TYPOGRAPHY IV,4,Th,9:00 AM,BE 5124,Vartenigian ,23,/,24,0,6.1,6.1,
3378,DES 233  01,GRAPHIC VI,4,T,9:00 AM,BE 5126,"Salverda, m.",23,/,25,0,6.1,6.1,
3379,DES 233  02,GRAPHIC VI,4,W,9:00 AM,BE 5124,"Salverda, m.",24,/,25,0,6.4,6.4,
3381,DES 234  02,GRAPHIC DESIGN VII,4,F,9:00 AM,BE 5124,"Lenon, tom ",24,/,25,0,6.4,6.4,
3380,DES 234  01,GRAPHIC DESIGN VII,4,Th,9:00 AM,BE 5126,"Lenon, tom ",23,/,25,0,6.1,6.1,
3371,DES 237  02,GRAPHIC DESIGN X,4,M,9:00 AM,BE 5124,"Sullivan, c.",24,/,25,0,6.4,6.4,
3370,DES 237  01,GRAPHIC DESIGN X,4,W,9:00 AM,BE 5126,"Sullivan, c.",23,/,25,0,6.1,6.1,
3391,DES 252  02,MULTIMED II,4,T,9:00 AM,BE 5124,"Fadiman,erik",24,/,25,0,6.4,6.4,
3390,DES 252  01,MULTIMED II,4,M,9:00 AM,BE 5126,"Fadiman,erik",24,/,25,0,6.4,6.4,
3392,DES 298  01,SPECIAL TOPICS,2,TTh,2:00 PM,BE 5150,Cancel/jan12,0,/,25,0,0,0,
3393,DES 298  02,SPECIAL TOPICS,2,MW,2:00 PM,BE 5148,Cancel/jan12,0,/,25,0,0,0,
4054,DHY 104  01,PREVENTIVE DENTISTRY,2,M,10:00 AM,BE 3196,"Tonon, m. ",19,/,20,0,2.5,2.5,
9189,DHY 105  OL,ORAL BIOLOGY,2,Online,-,-,Braun ,18,/,22,0,2.4,2.4,
4059,DHY 108  01,PERIODONTOLOGY I,2,T,8:00 AM,BE 3196,"Alibhai, s. ",19,/,20,0,2.5,2.5,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
9197,DHY 109  OL,HUMAN PATHOLOGY,3,Online,-,-,Braun ,20,/,22,0,4,4,
4053,DHY 113  01,DENTAL RADIOLOGY II,3,W,10:00 AM,BE 3201,"Tonon, m. ",19,/,20,0,3.8,3.8,
4056,DHY 114  01,RESTORATIVE PR/MATERIALS,3,M,8:00 AM,BE 3199,"Garcia, c. ",17,/,20,0,3.4,3.4,
4055,DHY 120  01,FUNDAMENTALS OF DHY II,2,W,8:00 AM,BE 3202,"Bowman, s. ",19,/,21,0,2.5,2.5,
4058,DHY 121  01,CLINICAL DHY II,4,MTThF,1:00 PM,-,"Bowman, s. ",19,/,20,0,5.1,5.1,
4086,DHY 215  01,SELECTIVE POPULATIONS,2,Th,1:00 PM,BE 3201,"Stone,carmen",20,/,20,0,2.7,2.7,
4087,DHY 224  01,COMMUNITY HEALTH III,2,Th,2:00 PM,BE 3201,"Baca, c. ",20,/,20,0,2.7,2.7,
4088,DHY 230  01,FUNDAMENTALS OF DHY VI,3,Th,9:00 AM,BE 3201,"Hartnett, j.",20,/,20,0,4,4,
4090,DHY 231  01,CLINICAL DHY VI,8,W,8:00 AM,SVI0407,"Hartnett, j.",20,/,20,0,10.7,10.7,
4093,DHY 235  01,RESTORATIVE MATERIALS V,2,T,8:00 AM,SVI0407,Koutsoumbas ,17,/,20,0,2.3,2.3,
4094,DHY 247  01,APPLIED PRACTICUM IN DHY,2,Sa,8:00 AM,SVI0000,"Nguyen, my ",7,/,6,0,0.9,0.9,
3274,DTP 101  01,DESK TOP PUBLISHING,4,TTh,5:00 PM,BE,Cancel 1/10 ,0,/,21,0,0,0,
191,ECON 100  HY,SURVEY OF ECONOMICS,5,MTThF,9:00 AM,BE 4148,"Hubert,j. ",37,/,45,0,12.3,10.3,
193,ECON&201  02,Q-MICROECONOMICS,5,DAILY,2:00 PM,BE 4149,"Sultan, syed",35,/,35,7,11.7,1.7,
192,ECON&201  HY,Q-MICROECONOMICS,5,MTThF,8:00 AM,BE 4148,Hubert ,37,/,45,0,12.3,6,
9114,ECON&201  OL,Q-MICROECONOMICS,5,Online,-,-,Hubert ,16,/,25,1,5.3,4,
9116,ECON&202  OL,Q-MACROECONOMICS,5,Online,-,-,Hubert ,18,/,25,0,6,3.7,
195,ECON&202  02,Q-MACROECONOMICS,5,TTh,6:30 PM,BE 4149,"Sawant, k. ",46,/,35,4,15.3,3.3,
194,ECON&202  HY,Q-MACROECONOMICS,5,MTThF,11:00 AM,BE 4148,Hubert ,39,/,45,0,13,8,
7860,EDUC 197  01,EDUCATION,5,Arr,AR:R M,-,"Kato, karen ",4,/,30,0,0.5,0.5,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
7861,EDUC 198  01,EDUCATION,5,Arr,AR:R M,-,"Kato, karen ",5,/,30,0,0.7,0.7,
2708,EDUC 198  IBS,CDA PORTFOLIO,2,TTh,5:00 PM,BE 3214,"Saldin, mary",10,/,25,0,1.3,1.2,
7862,EDUC 199  01,EDUCATION,5,Arr,AR:R M,-,"Kato, karen ",0,/,30,0,0,0,
633,EDUC 200  01,PEER TUTORING,5,Arr,AR:R M,BE 4128,"Lane,bradley",13,/,20,0,1.8,1,
1193,EDUC 200  02,PEER TUTORING: SCI/MATH,5,Arr,AR:R M,SAM0110,"Firpo, m. ",1,/,26,0,0.1,0.1,
1192,EDUC 200  01,PEER TUTORING: SCI/MATH,5,Arr,AR:R M,SAM0110,"Gibbons, e. ",1,/,26,0,0.1,0.1,
3965,EDUC 200  01,PEER TUTORING,5,Arr,AR:R M,ARR,Souma ,2,/,25,0,0.5,0.5,
4920,ENGL 092  IBS,BASIC WRITING IMPROVE I,5,DAILY,1:00 PM,,Cancel 10/18,0,/,30,0,0,0,
642,ENGL 092  01,BASIC WRITING IMPROVE I,5,DAILY,9:00 AM,BE 4119,"Jewell, p. ",23,/,25,0,7.7,7.3,
644,ENGL 093  03,RDG AND STUDY SKILLS II,5,DAILY,10:00 AM,BE 4119,"Jewell, p. ",23,/,25,0,7.7,7.3,
646,ENGL 095  02,COLL PREP READ STUDY III,5,DAILY,10:00 AM,BE 4123,"Silverman,l.",26,/,25,0,8.7,8.3,
645,ENGL 095  01,COLL PREP READ STUDY III,5,DAILY,9:00 AM,BE 4138,"Casey,susan ",26,/,25,0,8.7,8.3,
653,ENGL 096  05,COLLEGE PREP WRITING III,5,DAILY,10:00 AM,BE 4135,"Hornbeck, r.",23,/,25,0,7.7,5.3,
649,ENGL 096  01,COLLEGE PREP WRITING III,5,DAILY,9:00 AM,BE 4130,"Baldwin, peg",24,/,25,0,8,4,
650,ENGL 096  02,COLLEGE PREP WRITING III,5,DAILY,10:00 AM,BE 4138,"Casey,susan ",26,/,25,0,8.7,8.3,
652,ENGL 096  04,COLLEGE PREP WRITING III,5,DAILY,12:00 PM,BE 4179,"Moir, c. ",32,/,25,0,10.7,5.3,
651,ENGL 096  03,COLLEGE PREP WRITING III,5,DAILY,11:00 AM,BE 4123,"Silverman,l.",26,/,25,0,8.7,8.3,
654,ENGL 097  01,COLLEGE PREP READING IV,5,DAILY,10:00 AM,BE 4168,"Jeffries, p.",22,/,25,0,7.3,7,
657,ENGL&101  01,ENGLISH COMPOSITION I,5,DAILY,8:00 AM,BE 4134,"Croon, paul ",17,/,25,3,5.7,4,
663,ENGL&101  07,ENGLISH COMPOSITION I,5,DAILY,9:00 AM,FA 0302,Troxclair ,25,/,25,6,8.3,2.3,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
680,ENGL&101  22,ENGLISH COMPOSITION I,5,TTh,6:00 PM,BE 4118,"Nollan, fred",22,/,25,3,7.3,6,
660,ENGL&101  04,ENGLISH COMPOSITION I,5,DAILY,9:00 AM,FA 0405,"Levine, s. ",22,/,25,1,7.3,5,
662,ENGL&101  06,ENGLISH COMPOSITION I,5,DAILY,9:00 AM,BE 4136,Clark ,24,/,25,0,8,5,
669,ENGL&101  13,ENGLISH COMPOSITION I,5,DAILY,11:00 AM,BE 4104,"Wyman, jeb ",30,/,25,3,10,1.7,
671,ENGL&101  15,ENGLISH COMPOSITION I,5,DAILY,11:00 AM,BPH0101,"Sinai, laura",25,/,25,2,8.3,4.3,
678,ENGL&101  20,ENGLISH COMPOSITION I,5,DAILY,1:00 PM,BE 4179,"Moir, c. ",32,/,25,0,10.7,5.3,
665,ENGL&101  09,ENGLISH COMPOSITION I,5,DAILY,10:00 AM,BE 4166,"Woods, s. ",24,/,25,1,8,5.7,
670,ENGL&101  14,ENGLISH COMPOSITION I,5,DAILY,11:00 AM,BE 4168,"Jeffries, p.",22,/,25,0,7.3,7,
672,ENGL&101  16,ENGLISH COMPOSITION I,5,DAILY,12:00 PM,BE 4130,"Silverman,l.",27,/,25,3,9,6.7,
679,ENGL&101  21,ENGLISH COMPOSITION I,5,MW,6:00 PM,BE 4134,"Ramsey,laura",23,/,25,2,7.7,5.7,
658,ENGL&101  02,ENGLISH COMPOSITION I,5,DAILY,8:00 AM,,Cancel/dec ,0,/,25,0,0,0,
659,ENGL&101  03,ENGLISH COMPOSITION I,5,DAILY,8:00 AM,FA 0302,Troxclair ,25,/,25,4,8.3,3.3,
661,ENGL&101  05,ENGLISH COMPOSITION I,5,DAILY,9:00 AM,BE 4179,"Kline,barb ",26,/,25,3,8.7,7.3,
668,ENGL&101  12,ENGLISH COMPOSITION I,5,DAILY,11:00 AM,BE 4138,"Cole, d. ",25,/,25,2,8.3,5.7,
674,ENGL&101  18,ENGLISH COMPOSITION I,5,DAILY,12:00 PM,BE 4160,"Woods, s. ",24,/,25,2,8,3.7,
676,ENGL&101  HY2,ENGLISH COMPOSITION I,5,TTh,12:00 PM,BE 4123,"Cole, d. ",25,/,25,1,8.3,7,
664,ENGL&101  08,ENGLISH COMPOSITION I,5,DAILY,10:00 AM,BE 4130,"Baldwin, peg",24,/,25,0,8,4,
666,ENGL&101  10,ENGLISH COMPOSITION I,5,DAILY,10:00 AM,BE 4179,"Kline,barb ",28,/,25,1,9.3,2.7,
667,ENGL&101  11,ENGLISH COMPOSITION I,5,DAILY,10:00 AM,BPH0101,"Sinai, laura",23,/,25,3,7.7,6,
673,ENGL&101  17,ENGLISH COMPOSITION I,5,DAILY,12:00 PM,BE 4104,"Wyman, jeb ",32,/,25,1,10.7,3.3,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
675,ENGL&101  HY,ENGLISH COMPOSITION I,5,MW,12:00 PM,BE 4123,"Cole, d. ",19,/,25,0,6.3,4.7,
677,ENGL&101  19,ENGLISH COMPOSITION I,5,DAILY,1:00 PM,BE 4118,"Levine, s. ",25,/,25,2,8.3,6,
9118,ENGL&101  OL,ENGLISH COMPOSITION I,5,Online,-,-,"Ramsey,laura",23,/,25,5,7.7,6.7,
686,ENGL&102  05,COMPOSITION II,5,DAILY,9:00 AM,BE 4143,"Hornbeck, r.",30,/,25,1,10,2,
691,ENGL&102  10,COMPOSITION II,5,DAILY,10:00 AM,BE 4137,"Faucette, m.",29,/,35,1,9.7,6.7,
701,ENGL&102  HY,COMPOSITION II,5,TTh,1:00 PM,BE 4136,Bachar ,17,/,25,0,5.7,4.7,
9120,ENGL&102  OL,COMPOSITION II,5,Online,-,-,"Malody, c. ",19,/,25,10,6.3,4.3,
9121,ENGL&102  OL,COMPOSITION II,5,Online,-,-,"Malody, c. ",16,/,25,0,5.3,4.3,
683,ENGL&102  02,COMPOSITION II,5,DAILY,8:00 AM,BE 4135,"Nollan, fred",22,/,25,0,7.3,4,
684,ENGL&102  03,COMPOSITION II,5,DAILY,8:00 AM,BE 4119,"O'brien, k. ",22,/,25,0,7.3,5.7,
685,ENGL&102  04,COMPOSITION II,5,DAILY,9:00 AM,BE 4140,"Croon, paul ",23,/,25,4,7.7,4,
687,ENGL&102  06,COMPOSITION II,5,DAILY,9:00 AM,BE 3132,"O'brien, k. ",25,/,25,5,8.3,6,
694,ENGL&102  13,COMPOSITION II,5,DAILY,11:00 AM,BE 4119,Aghabegian ,27,/,25,1,9,6,
696,ENGL&102  15,COMPOSITION II,5,DAILY,12:00 PM,BE 4136,Bachar ,23,/,25,3,7.7,4.3,
697,ENGL&102  16,COMPOSITION II,5,DAILY,12:00 PM,BE 4119,"Horton,john ",27,/,25,6,9,1.7,
689,ENGL&102  08,COMPOSITION II,5,DAILY,10:00 AM,BE 4140,"Croon, paul ",23,/,25,2,7.7,3.3,
693,ENGL&102  12,COMPOSITION II,5,DAILY,11:00 AM,BE 4140,"Croon, paul ",24,/,25,0,8,6,
695,ENGL&102  14,COMPOSITION II,5,DAILY,11:00 AM,BE 4137,"Faucette, m.",27,/,25,0,9,4,
700,ENGL&102  19,COMPOSITION II,5,MW,1:00 PM,BE 4168,"Douma, m. ",23,/,25,0,7.7,5.7,
704,ENGL&102  22,COMPOSITION II,5,DAILY,12:00 PM,BE 4137,"McKENNA, B. ",19,/,25,0,6.3,5.3,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
705,ENGL&102  23,COMPOSITION II,5,DAILY,9:00 AM,BE 4166,"Woods, s. ",20,/,25,0,6.7,4,
682,ENGL&102  01,COMPOSITION II,5,DAILY,8:00 AM,BE 4143,"Hornbeck, r.",32,/,25,2,10.7,4,
688,ENGL&102  07,COMPOSITION II,5,DAILY,9:00 AM,BE 4134,"McKENNA, B. ",23,/,25,0,7.7,6.3,
690,ENGL&102  09,COMPOSITION II,5,DAILY,10:00 AM,BE 4182,"McKENNA, B. ",21,/,25,5,7,3.7,
692,ENGL&102  11,COMPOSITION II,5,DAILY,10:00 AM,BE 3211,"Horton,john ",26,/,25,6,8.7,2.3,
698,ENGL&102  17,COMPOSITION II,5,TTh,12:00 PM,BE 4168,"Douma, m. ",26,/,25,0,8.7,7.7,
699,ENGL&102  18,COMPOSITION II,5,DAILY,1:00 PM,BE 4134,"Oakley, nada",22,/,25,0,7.3,5,
702,ENGL&102  20,COMPOSITION II,5,TTh,6:00 PM,BE 4123,"Mcentire, a.",23,/,25,2,7.7,5.3,
703,ENGL&102  21,COMPOSITION II,5,MW,6:00 PM,BE 4167,"Mcentire, a.",19,/,25,1,6.3,4.7,
7101,ENGL 105  01,APPLIED COMPOSITION,3,Arr,AR:R M,TRA0000,Cancel 12/09,0,/,18,0,0,0,
7100,ENGL 105  02,APPLIED COMPOSITION,3,Arr,AR:R M,TRA0000,Cancel 12/3 ,0,/,18,0,0,0,
713,ENGL 106  01,TECHNICAL WRITING,3,MWF,12:00 PM,BE 3165,Aghabegian ,23,/,25,3,4.6,4.4,
7090,ENGL&111  TVL,INTRO TO LITERATURE,5,Arr,AR:R M,-,Cancel/mar25,0,/,35,0,0,0,
725,ENGL&113  01,INTRO TO POETRY,5,DAILY,11:00 AM,BE 4118,Clark ,30,/,35,0,10,9,
727,ENGL&114  01,INTRO TO DRAMA,5,MW,6:00 PM,BE 4168,"Douma, m. ",12,/,35,0,4,4,
7091,ENGL 151  TVL,CREATIVE WRITING,5,Arr,: M,-,Cancel/mar25,0,/,30,0,0,0,
7093,ENGL 152  TVL,CREATIVE WRITING,5,Arr,: M,-,Cancel/mar25,0,/,30,0,0,0,
739,ENGL 152  01,CREATIVE WRITING,5,DAILY,12:00 PM,,Cancel/dec ,0,/,35,0,0,0,
740,ENGL 203  VV,ADVANCED SCRIPTWRITING,3,T,10:00 AM,BE 3202,"Tonacchio,s.",15,/,25,0,3,2.8,
749,ENGL 218  01,W-HOLOCAUST LITERATURE,5,DAILY,12:00 PM,BE 4134,"Oakley, nada",21,/,25,0,7,6,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
750,ENGL 219  01,BETWEEN THE WARS,5,DAILY,9:00 AM,,cancel 11-27,0,/,35,0,0,0,
752,ENGL 240  01,"READ,WRITE AUTOBIOGRAPHY",5,DAILY,10:00 AM,BE 4104,"Wyman, jeb ",17,/,35,0,5.7,4.3,
9124,ENGL&246  OL,AMERICAN LITERATURE III,5,Online,-,-,Cancel 12/03,0,/,25,0,0,0,
754,ENGL&256  01,WORLD LITERATURE III,5,DAILY,1:00 PM,BE 4137,"Jeffries, p.",13,/,35,0,4.3,4.3,
762,ENGL 259  01,AFRICAN AMERICAN LIT,5,DAILY,12:00 PM,,Cancel/dec ,0,/,35,0,0,0,
764,ENGL 291  01,LITERATURE BY WOMEN,5,DAILY,9:00 AM,BE 4137,"Faucette, m.",17,/,35,0,5.7,4.7,
781,ENGL 299  01,SPECIAL TOPICS - ENGLISH,5,Arr,AR:R M,BE 4128,"Lane,bradley",1,/,5,0,0.3,0.3,
1202,ENGR 110  01,ENGINEERING ORIENTATION,2,M,3:00 PM,SAM0205,Heller ,31,/,30,0,4.1,3.2,
1207,ENGR&215  01,DYNAMICS,5,DAILY,11:00 AM,SAM0202,Lepeintre ,18,/,24,0,6,3.3,
1210,ENGR&225  01,MECHANICS OF MATERIALS,5,DAILY,10:00 AM,SAM0205,Heller ,17,/,24,0,5.7,2.3,
1217,ENGR 299  142,ENGR 142 STUDY SKILLS,1,Arr,AR:R M,-,Cancel jul17,0,/,5,0,0,0,
1219,ENVS 150  01,IS-ENVIRONMNTL ISSUES/PR,5,TTh,12:00 PM,SAM0201,Chenu ,35,/,32,2,11.7,6,
9127,ENVS 150  OL,IS-ENVIRONMNTL ISSUES/PR,5,Online,-,-,Castell ,23,/,25,1,7.7,6.3,
9126,ENVS 150  OL,IS-ENVIRONMNTL ISSUES/PR,5,Online,-,-,Castell ,23,/,25,1,7.7,5.7,
9117,ENVS 160  OL,PRIN OF SUSTAINABILITY,5,Online,-,-,"Chenu, katie",20,/,25,0,6.7,6.7,
7863,ENVS 197  01,INTERN SUSTAINABLE AGRI,5,Arr,AR:R M,-,"Kato, karen ",0,/,30,0,0,0,
1223,ENVS 200  01,SUST FD SYST EMPLOYMENT,2,W,3:00 PM,SAM0103,Sparks ,15,/,24,0,2,1.9,
1222,ENVS 204  01,INTRO SOILS SCIENCE REST,5,MW,1:00 PM,SAM0103,Cancel jul12,0,/,24,0,0,0,
5015,ESL 015  01,ESL 1 R/W,5,DAILY,9:00 AM,BE 3200,"Loh,andre ",23,/,25,0,7.7,7.7,
